Date,Net Income
2022-09-30,37
2022-06-30,62
2022-03-31,5
2021-12-31,70
2021-09-30,55
2021-06-30,54
2021-03-31,41
2020-12-31,10
2020-09-30,34
2020-06-30,24
2020-03-31,33
2019-12-31,68
2019-09-30,16
2019-06-30,25
2019-03-31,30
2018-12-31,55
2018-09-30,25
2018-06-30,24
2018-03-31,22
2017-12-31,-57
2017-09-30,32
2017-06-30,16
2017-03-31,13
2016-12-31,37
2016-09-30,0
2016-06-30,-0
2016-03-31,-8
2015-12-31,52
2015-09-30,9
2015-06-30,16
2015-03-31,-14
2014-12-31,35
2014-09-30,-12
2014-06-30,9
2014-03-31,2
2013-12-31,66
2013-09-30,-24
2013-06-30,20
2013-03-31,4
2012-12-31,179
2012-09-30,3
2012-06-30,-88
2012-03-31,42
2011-12-31,59
2011-09-30,16
2011-06-30,-120
2011-03-31,5
2010-12-31,67
2010-09-30,-4
2010-06-30,32
2010-03-31,13
2009-12-31,91
2009-09-30,-36
2009-06-30,39
2009-03-31,-74